item,url,Date
Country Shepherd's Pie,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cauliflower Crust Primavera Pizza,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Classic Cheese Pizza,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Caesar Pasta Salad,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Egg Breakfast Burrito,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Fresh Fruit Salad,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ancho Lime Carne Asada,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Delmonico Potatoes,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Garden Vegetables,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Kale with Caramelized Onions,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Chicken & Rice Soup Florentine,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Italian Wedding Soup,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Two-Bean Chili Soup,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
French Dip Au Jus,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Sriracha-Slaw Black Bean Burger,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Seasoned Black Beans,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
White Rice,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Green Beans & Peppers,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Salt & Pepper Potato Chips,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Balsamic Roasted Vegetables,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
American Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Egg Salad,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ham,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Pepper Jack Cheese,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Roast Beef	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Smoked Turkey Breast,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Green Leaf Lettuce,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Sliced Onions,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Sliced Tomatoes,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Dijon Mustard,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Dill Pickle Slices,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Honey Mustard Dressing,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Mayonnaise,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Sesame Shrimp Taco,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Country Meatloaf,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Herb Roasted Red Potatoes,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Roasted Butternut Squash,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Country Beef Gravy,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Portobello Florentine Baguette,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Tuna & Apple Wrap,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Ranch Potato Chips,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Avocado Ranch Crispy Chicken Sandwich,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Crispy Tater Tots,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
"
Broccoli Rabe & Sausage Pizza	",https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Classic Cheese Pizza,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Primavera Pizza,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Tossed Salad,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Quinoa & Edamame Salad,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Sesame Noodle Salad,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Citrus Water,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Chopped Hard-Cooked Egg,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Shredded Cheddar Cheese,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Tuna,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Croutons,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Quinoa,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
Black Beans,https://udel.campusdish.com/LocationsAndMenus/RussellDiningHall,2021-09-07 20:13:56.349460
